Field	Name	STD Offset	Rules	Format	Until	Comment	
Zone	America/Paramaribo	-3:40:40	-	LMT	1911		
Zone	America/Paramaribo	-3:40:52	-	PMT	1935	 Paramaribo Mean Time	
Zone	America/Paramaribo	-3:40:36	-	PMT	1945 Oct    	 The capital moved?	
Zone	America/Paramaribo	#VALUE!	-	%z	1984 Oct		
Zone	America/Paramaribo	-3:00	-	%z			
Zone	America/Montevideo	-3:44:51	-	LMT	1908 Jun 10		
Zone	America/Montevideo	-3:44:51	-	MMT	1920 May  1 	 Montevideo MT	
Zone	America/Montevideo	-4:00	-	%z	1923 Oct  1		
Zone	America/Montevideo	#VALUE!	Uruguay	%z	1942 Dec 14		
Zone	America/Montevideo	-3:00	Uruguay	%z	1960		
Zone	America/Montevideo	-3:00	Uruguay	%z	1968		
Zone	America/Montevideo	-3:00	Uruguay	%z	1970		
Zone	America/Montevideo	-3:00	Uruguay	%z	1974		
Zone	America/Montevideo	-3:00	Uruguay	%z	1974 Mar 10		
Zone	America/Montevideo	-3:00	Uruguay	%z	1974 Dec 22		
Zone	America/Montevideo	-3:00	Uruguay	%z			
Zone	America/Caracas	-4:27:44	-	LMT	1890		
Zone	America/Caracas	-4:27:40	-	CMT	1912 Feb 12 	 Caracas Mean Time?	
Zone	America/Caracas	#VALUE!	-	%z	1965 Jan  1  0:00		
Zone	America/Caracas	-4:00	-	%z	2007 Dec  9  3:00		
Zone	America/Caracas	#VALUE!	-	%z	2016 May  1  2:30		
Zone	America/Caracas	-4:00	-	%z			
